iter	Passed	Remaining
694	2540	1114
695	2544	1111
696	2548	1107
697	2550	1103
698	2552	1099
699	2555	1095
700	2561	1092
701	2564	1088
702	2566	1084
703	2567	1079
704	2569	1075
705	2570	1070
706	2573	1066
707	2581	1064
708	2583	1060
709	2588	1057
710	2591	1053
711	2593	1049
712	2595	1044
713	2608	1044
714	2610	1040
715	2612	1036
716	2620	1034
717	2624	1030
718	2627	1026
719	2634	1024
720	2637	1020
721	2639	1016
722	2641	1012
723	2644	1008
724	2649	1005
725	2652	1000
726	2654	996
727	2655	992
728	2657	987
729	2660	984
730	2669	982
731	2671	978
732	2673	973
733	2679	970
734	2683	967
735	2685	963
736	2687	959
737	2694	956
738	2696	952
739	2698	948
740	2700	943
741	2701	939
742	2704	935
743	2712	933
744	2714	929
745	2716	924
746	2719	921
747	2723	917
748	2725	913
749	2730	910
750	2732	905
751	2734	901
752	2741	899
753	2743	895
754	2746	891
755	2752	888
756	2756	884
757	2758	880
758	2760	876
759	2765	873
760	2769	869
761	2772	865
762	2774	861
763	2781	859
764	2784	855
765	2786	851
766	2788	847
767	2792	843
768	2796	840
769	2798	835
770	2800	831
771	2801	827
772	2803	823
773	2807	819
774	2812	816
775	2814	812
776	2816	808
777	2818	804
778	2822	800
779	2825	796
780	2831	793
781	2833	789
782	2838	786
783	2841	782
784	2843	778
785	2846	775
786	2849	771
787	2855	768
788	2858	764
789	2861	760
790	2863	756
791	2869	753
792	2873	750
793	2875	746
794	2877	742
795	2882	738
796	2885	735
797	2888	731
798	2891	727
799	2899	724
800	2901	720
801	2903	716
802	2906	713
803	2912	710
804	2915	706
805	2918	702
806	2920	698
807	2924	695
808	2929	691
809	2938	689
810	2944	686
811	2947	682
812	2949	678
813	2958	676
814	2962	672
815	2964	668
816	2967	664
817	2973	661
818	2978	658
819	2981	654
820	2985	650
821	2988	647
822	2991	643
823	2995	639
824	3002	636
825	3004	632
826	3008	629
827	3017	626
828	3020	623
829	3024	619
830	3026	615
831	3032	612
832	3036	608
833	3038	604
834	3041	600
835	3047	597
836	3050	594
837	3054	590
838	3056	586
839	3063	583
840	3067	579
841	3069	576
842	3082	574
843	3084	570
844	3088	566
845	3095	563
846	3098	559
847	3100	555
848	3102	551
849	3103	547
850	3112	545
851	3116	541
852	3118	537
853	3128	534
854	3132	531
855	3134	527
856	3143	524
857	3145	520
858	3147	516
859	3149	512
860	3152	508
861	3172	507
862	3176	504
863	3179	500
864	3188	497
865	3192	493
866	3194	490
867	3203	487
868	3205	483
869	3207	479
870	3209	475
871	3215	472
872	3220	468
873	3222	464
874	3224	460
875	3228	456
876	3232	453
877	3234	449
878	3237	445
879	3238	441
880	3246	438
881	3248	434
882	3251	430
883	3253	426
884	3254	422
885	3258	419
886	3260	415
887	3268	412
888	3276	409
889	3280	405
890	3283	401
891	3286	397
892	3290	394
893	3293	390
894	3295	386
895	3297	382
896	3301	379
897	3305	375
898	3308	371
899	3310	367
900	3312	363
901	3315	360
902	3321	356
903	3327	353
904	3330	349
905	3335	346
906	3340	342
907	3342	338
908	3344	334
909	3353	331
910	3356	327
911	3358	324
912	3362	320
913	3364	316
914	3367	312
915	3369	308
916	3371	305
917	3372	301
918	3374	297
919	3379	293
920	3381	290
921	3383	286
922	3385	282
923	3387	278
924	3389	274
925	3393	271
926	3395	267
927	3397	263
928	3399	259
929	3400	255
930	3402	252
931	3409	248
932	3411	245
933	3413	241
934	3415	237
935	3417	233
936	3422	230
937	3425	226
938	3429	222
939	3432	219
940	3438	215
941	3440	211
942	3442	208
943	3444	204
944	3448	200
945	3451	197
946	3453	193
947	3455	189
948	3457	185
949	3464	182
950	3466	178
951	3468	174
952	3470	171
953	3472	167
954	3475	163
955	3478	160
956	3480	156
957	3482	152
958	3484	148
959	3486	145
960	3487	141
961	3491	137
962	3494	134
963	3496	130
964	3497	126
965	3499	123
966	3501	119
967	3507	115
968	3509	112
969	3511	108
970	3513	104
971	3515	101
972	3520	97
973	3523	94
974	3526	90
975	3529	86
976	3530	83
977	3541	79
978	3544	76
979	3546	72
980	3549	68
981	3554	65
982	3555	61
983	3559	57
984	3560	54
985	3563	50
986	3567	46
987	3569	43
988	3571	39
989	3573	36
990	3575	32
991	3577	28
992	3582	25
993	3587	21
994	3589	18
995	3593	14
996	3595	10
997	3597	7
998	3599	3
999	3601	0
